drugName,smilesString
Bendamustine,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O
Lonidamine,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O
Lenalidomide,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
Cladribine,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
Pentostatin,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
6-mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2
Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
4-Hydroxyandrostenedione,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
Pemetrexed disodium,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
Gemcitabine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
Vincristine sulfate,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
Combretastatin A-4,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
Plinabulin,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
