drugName,cIds,smilesString
Bendamustine,CIDs00065628,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O
Lonidamine,CIDs00039562,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O
Lenalidomide,CIDs00216326,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
Cladribine,CIDs00020279,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
Pentostatin,CIDs00439693,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
6-mercaptopurine,CIDs00667490,C1=NC2=C(N1)C(=S)N=CN2
Everolimus,CIDs06442177,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
Aminoglutethimide,CIDs00002145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
4-Hydroxyandrostenedione,CIDs00011273,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
Letrozole,CIDs00003902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
Pemetrexed disodium,CIDs135413520,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
Gemcitabine,CIDs00060750,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
Tamoxifen,CIDs02733526,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
Vincristine sulfate,CIDs05388992,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
Combretastatin A-4,CIDs05351344,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
Plinabulin,CIDs09949641,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
Docetaxel,CIDs00148124,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
Blebbistatin,CIDs03476986,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
